"","ADDR_PCT_CD","KY_CD","OFNS_DESC","PD_CD","PD_DESC","CRM_ATPT_CPTD_CD","LAW_CAT_CD","BORO_NM","LOC_OF_OCCUR_DESC","PREM_TYP_DESC","JURIS_DESC","JURISDICTION_CODE","PARKS_NM","HADEVELOPT","HOUSING_PSA","SUSP_AGE_GROUP","SUSP_RACE","SUSP_SEX","TRANSIT_DISTRICT","PATROL_BORO","STATION_NAME","VIC_AGE_GROUP","VIC_RACE","VIC_SEX"
"ADDR_PCT_CD",0,0.0484,0.04837,0.0682,0.06812,0.02006,0.07544,0.9995,0.07733,0.09848,0.1172,0.1172,0.9687,0.85,0.8926,0.01416,0.2747,0.1128,0.9169,1,0.8632,0.01645,0.3047,0.1391
"KY_CD",0,0,0.9396,0.9891,0.9815,0.1874,0.9995,0.1177,0.4452,0.09658,0.1044,0.1044,0.2361,0.1244,0.1065,0.05762,0.07168,0.3395,0.1233,0.1056,0.103,0.07037,0.1008,0.4737
"OFNS_DESC",0,0,0,0.9928,0.9856,0.1873,0.9544,0.1158,0.4447,0.09963,0.1066,0.1066,0.2457,0.1276,0.1566,0.07312,0.07121,0.3381,0.1152,0.1039,0.09438,0.06552,0.1005,0.474
"PD_CD",0,0,0,0,0.998,0.2575,1,0.1592,0.3375,0.184,0.1601,0.1601,0.1832,0.08726,0.1098,0.09146,0.08689,0.4251,0.1513,0.1415,0.07258,0.07045,0.1151,0.6088
"PD_DESC",0,0,0,0,0,0.2575,0.9991,0.1591,0.3397,0.1839,0.1569,0.1569,0.1837,0.08374,0.1099,0.1002,0.08672,0.4251,0.151,0.1414,0.07219,0.07031,0.1151,0.6083
"CRM_ATPT_CPTD_CD",0,0,0,0,0,0,0.1139,0.01195,0.01992,0.05254,0.01305,0.01304,0.2055,0.03981,0.09227,0.0238,0.02373,0.02967,0.02589,0.01304,0.0614,0.01815,0.01203,0.0358
"LAW_CAT_CD",0,0,0,0,0,0,0,0.0538,0.06625,0.1686,0.05117,0.05132,0.2648,0.1058,0.1457,0.0772,0.07455,0.1554,0.07744,0.05885,0.1467,0.04271,0.05339,0.1924
"BORO_NM",0,0,0,0,0,0,0,0,0.05363,0.207,0.08884,0.08884,0.9985,0.994,0.9997,0.02956,0.1812,0.05486,0.8534,0.9995,0.8546,0.03215,0.2049,0.08486
"LOC_OF_OCCUR_DESC",0,0,0,0,0,0,0,0,0,0.3699,0.0472,0.04707,0.547,0.1272,0.1537,0.02654,0.01247,0.1102,0.1406,0.05699,0.6428,0.02998,0.03229,0.1406
"PREM_TYP_DESC",0,0,0,0,0,0,0,0,0,0,0.3697,0.3697,0.2599,0.1599,0.3025,0.03543,0.0925,0.1456,0.02883,0.191,0.05698,0.03614,0.1067,0.3829
"JURIS_DESC",0,0,0,0,0,0,0,0,0,0,0,1,0.3055,0.2115,0.3056,0.1189,0.06191,0.05544,0.01309,0.08911,0.04657,0.06041,0.07529,0.1144
"JURISDICTION_CODE",0,0,0,0,0,0,0,0,0,0,0,0,0.3055,0.2117,0.3056,0.1189,0.06194,0.05551,0.01309,0.08911,0.04657,0.06041,0.0753,0.1145
"PARKS_NM",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5286,0.3162,0.1456,0.5294,0.3357,0.5945,0.9963,0.1038,0.1079,0.5035,0.3415
"HADEVELOPT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9704,0.1319,0.3417,0.08573,0.6655,0.9947,0.134,0.08772,0.3387,0.3781
"HOUSING_PSA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1127,0.4195,0.1512,0.8919,0.9997,0.2077,0.09445,0.3727,0.1669
"SUSP_AGE_GROUP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0654,0.03957,0.07487,0.02574,0.1001,0.1288,0.052,0.0408
"SUSP_RACE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02004,0.1061,0.181,0.168,0.0607,0.4454,0.03642
"SUSP_SEX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07923,0.05979,0.154,0.07357,0.08508,0.1221
"TRANSIT_DISTRICT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7737,0.9482,0.06045,0.1409,0.1003
"PATROL_BORO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9053,0.03331,0.2025,0.1022
"STATION_NAME",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05141,0.198,0.2187
"VIC_AGE_GROUP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06738,0.04443
"VIC_RACE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0595
"VIC_SEX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
